@Version:0.9.1
@SampleID:gsa

@@SEQUENCEID	BINID	TAXID
RM2|P|C34542	evo_1139_Y.035	169973
RM2|P|C48275	evo_1139_Y.035	169973
RM2|P|C49563	evo_1139_Y.035	169973
RM2|P|C33136	evo_1139_Y.035	169973
RM2|P|C62502	1049032	561061
RM2|P|C61932	1049032	561061
RM2|P|C29840	1049032	561061
RM2|P|C35035	1049032	561061
RM2|P|C548	1049032	561061
RM2|P|C10686	1049032	561061
RM2|P|C52672	1049032	561061
RM2|P|C45442	1049032	561061
RM2|P|C37118	1049032	561061
RM2|P|C42396	1049032	561061
RM2|P|C53110	1049032	561061
RM2|P|C12621	1049032	561061
RM2|P|C36978	1049032	561061
RM2|P|C15	1049032	561061
RM2|P|C282	1049032	561061
RM2|P|C4766	1049032	561061
RM2|P|C19489	1049032	561061
RM2|P|C11027	1049032	561061
RM2|P|C36364	1049032	561061
RM2|P|C59804	1049032	561061
RM2|P|C12946	1049032	561061
RM2|P|C48445	1049032	561061
RM2|P|C7553	1049032	561061
RM2|P|C46765	1049032	561061
RM2|P|C15392	1049032	561061
RM2|P|C2966	Sample6_192	45202
RM2|P|C62866	1030782	1123358
RM2|P|C17030	1030782	1123358
RM2|P|C19225	1030782	1123358
RM2|P|C27341	1030782	1123358
RM2|P|C23765	1030782	1123358
RM2|P|C29290	1030782	1123358
RM2|P|C17398	1030782	1123358
RM2|P|C11496	1030782	1123358
RM2|P|C43464	1030782	1123358
RM2|P|C25279	1030782	1123358
RM2|P|C24909	1030782	1123358
RM2|P|C41863	1030782	1123358
RM2|P|C993	1030782	1123358
RM2|P|C41134	1030782	1123358
RM2|P|C635	1030782	1123358
RM2|P|C53073	1030782	1123358
RM2|P|C31611	1030782	1123358
RM2|P|C26427	1030782	1123358
RM2|P|C17725	1030782	1123358
RM2|P|C2878	1030782	1123358
RM2|P|C58565	1030782	1123358
RM2|P|C601	1030782	1123358
RM2|P|C22873	1030782	1123358
RM2|P|C2361	1030782	1123358
RM2|P|C23635	1030782	1123358
RM2|P|C32503	1030782	1123358
RM2|P|C25491	1030782	1123358
RM2|P|C55694	1030782	1123358
RM2|P|C35905	1030782	1123358
RM2|P|C53787	1030782	1123358
RM2|P|C16226	1030782	1123358
RM2|P|C55247	1030782	1123358
RM2|P|C18125	1030782	1123358
RM2|P|C45972	1030782	1123358
RM2|P|C13037	1030782	1123358
RM2|P|C41393	1030782	1123358
RM2|P|C32938	1030782	1123358
RM2|P|C29890	1030782	1123358
RM2|P|C58992	1030782	1123358
RM2|P|C8857	1030782	1123358
RM2|P|C33519	1030782	1123358
RM2|P|C38468	1030782	1123358
RM2|P|C50007	1030782	1123358
RM2|P|C45441	1030782	1123358
RM2|P|C56382	1030782	1123358
RM2|P|C43501	1030782	1123358
RM2|P|C14589	1030782	1123358
RM2|P|C15786	1030782	1123358
RM2|P|C16914	1030782	1123358
RM2|P|C18526	1030782	1123358
RM2|P|C29175	1030782	1123358
RM2|P|C5294	1030782	1123358
RM2|P|C33373	1030782	1123358
RM2|P|C39254	1030782	1123358
RM2|P|C43188	1030782	1123358
RM2|P|C25611	1030782	1123358
RM2|P|C28222	1030782	1123358
RM2|P|C20607	1030782	1123358
RM2|P|C18617	1030782	1123358
RM2|P|C62257	1030782	1123358
RM2|P|C14437	1030782	1123358
RM2|P|C7523	1030782	1123358
RM2|P|C54910	1030782	1123358
RM2|P|C8552	1030782	1123358
RM2|P|C54660	1030782	1123358
RM2|P|C22727	1030782	1123358
RM2|P|C48994	1030782	1123358
RM2|P|C20233	1030782	1123358
RM2|P|C15240	1030782	1123358
RM2|P|C43008	1030782	1123358
RM2|P|C10628	1030782	1123358
RM2|P|C24916	1030782	1123358
RM2|P|C55595	1030782	1123358
RM2|P|C32983	1030782	1123358
RM2|P|C29096	1030782	1123358
RM2|P|C62034	1030782	1123358
RM2|P|C53035	1030782	1123358
RM2|P|C21047	1030782	1123358
RM2|P|C35705	1030782	1123358
RM2|P|C46740	1030782	1123358
RM2|P|C41625	1030782	1123358
RM2|P|C22081	1030782	1123358
RM2|P|C38092	1030782	1123358
RM2|P|C21673	1030782	1123358
RM2|P|C37677	1030782	1123358
RM2|P|C41060	1030782	1123358
RM2|P|C11973	1030782	1123358
RM2|P|C9317	1030782	1123358
RM2|P|C1374	1030782	1123358
RM2|P|C27359	1030782	1123358
RM2|P|C38156	1030782	1123358
RM2|P|C21473	1030782	1123358
RM2|P|C18027	1030782	1123358
RM2|P|C58984	1030782	1123358
RM2|P|C31472	1030782	1123358
RM2|P|C44330	1030782	1123358
RM2|P|C33255	1030782	1123358
RM2|P|C24811	1030782	1123358
RM2|P|C40795	Sample16_65	32644
RM2|P|C37032	Sample6_199	45202
RM2|P|C20170	Sample22_94	10239
RM2|P|C45342	Sample20_114	32644
RM2|P|C30201	1048942	688913
RM2|P|C27497	1048942	688913
RM2|P|C18164	1048942	688913
RM2|P|C33469	1048942	688913
RM2|P|C19967	1048942	688913
RM2|P|C55863	1048942	688913
RM2|P|C33074	1048942	688913
RM2|P|C40041	1048942	688913
RM2|P|C55626	1048942	688913
RM2|P|C19978	1048942	688913
RM2|P|C8170	1048942	688913
RM2|P|C56954	1048942	688913
RM2|P|C3463	1048942	688913
RM2|P|C44985	1048942	688913
RM2|P|C38831	1048942	688913
RM2|P|C55320	1048942	688913
RM2|P|C62009	1048942	688913
RM2|P|C10460	1048942	688913
RM2|P|C18274	1048942	688913
RM2|P|C49659	1048942	688913
RM2|P|C34915	1048942	688913
RM2|P|C50956	1048942	688913
RM2|P|C5241	1048942	688913
RM2|P|C52969	1048942	688913
RM2|P|C44716	1048942	688913
RM2|P|C46429	1048942	688913
RM2|P|C58841	1048942	688913
RM2|P|C46887	1048942	688913
RM2|P|C62298	1048942	688913
RM2|P|C47093	1048942	688913
RM2|P|C23819	1048942	688913
RM2|P|C62593	1048942	688913
RM2|P|C62338	1048942	688913
RM2|P|C17630	1048942	688913
RM2|P|C50621	1048942	688913
RM2|P|C29346	1048942	688913
RM2|P|C61359	1048942	688913
RM2|P|C14357	1048942	688913
RM2|P|C37486	1048942	688913
RM2|P|C9738	1048942	688913
RM2|P|C32940	1048942	688913
RM2|P|C37509	1048942	688913
RM2|P|C4873	1048942	688913
RM2|P|C31578	1048942	688913
RM2|P|C45209	1048942	688913
RM2|P|C22621	1048942	688913
RM2|P|C6402	1048942	688913
RM2|P|C32995	1048942	688913
RM2|P|C47460	1048942	688913
RM2|P|C49450	1048942	688913
RM2|P|C26362	1048942	688913
RM2|P|C7296	1048942	688913
RM2|P|C33608	1048942	688913
RM2|P|C26590	1048942	688913
RM2|P|C2319	1048942	688913
RM2|P|C21221	1048942	688913
RM2|P|C7778	1048942	688913
RM2|P|C904	1048942	688913
RM2|P|C27491	1048942	688913
RM2|P|C45080	1048942	688913
RM2|P|C16448	1048942	688913
RM2|P|C52981	1048942	688913
RM2|P|C20928	1048942	688913
RM2|P|C28784	1048942	688913
RM2|P|C32757	1048942	688913
RM2|P|C22419	1048942	688913
RM2|P|C28432	1048942	688913
RM2|P|C26103	1048942	688913
RM2|P|C51710	1048942	688913
RM2|P|C55971	1048942	688913
RM2|P|C20906	1048942	688913
RM2|P|C19672	1048942	688913
RM2|P|C7321	1048942	688913
RM2|P|C2211	1048942	688913
RM2|P|C58349	1048942	688913
RM2|P|C18385	1048942	688913
RM2|P|C9047	1048942	688913
RM2|P|C53621	1048942	688913
RM2|P|C47923	1048942	688913
RM2|P|C55991	1048942	688913
RM2|P|C28838	1048942	688913
RM2|P|C58611	1048942	688913
RM2|P|C28753	1048942	688913
RM2|P|C34043	1048942	688913
RM2|P|C54820	1048942	688913
RM2|P|C23690	1048942	688913
RM2|P|C28605	1048942	688913
RM2|P|C26759	1048942	688913
RM2|P|C58133	1048942	688913
RM2|P|C21639	1048942	688913
RM2|P|C38944	1048942	688913
RM2|P|C23022	1048942	688913
RM2|P|C62874	1048942	688913
RM2|P|C11431	1048942	688913
RM2|P|C28136	1048942	688913
RM2|P|C4207	1048942	688913
RM2|P|C33073	1048942	688913
RM2|P|C49233	1048942	688913
RM2|P|C52903	1048942	688913
RM2|P|C5	1048942	688913
RM2|P|C52516	1048942	688913
RM2|P|C12046	1048942	688913
RM2|P|C30637	1048942	688913
RM2|P|C3362	1048942	688913
RM2|P|C41099	1048942	688913
RM2|P|C22714	1048942	688913
RM2|P|C9396	1048942	688913
RM2|P|C44460	1048942	688913
RM2|P|C31507	1048942	688913
RM2|P|C19833	1048942	688913
RM2|P|C56588	1048942	688913
RM2|P|C55540	1048942	688913
RM2|P|C47223	1048942	688913
RM2|P|C870	1048942	688913
RM2|P|C60096	1048942	688913
RM2|P|C11281	1048942	688913
RM2|P|C44000	1048942	688913
RM2|P|C57757	1048942	688913
RM2|P|C52257	1048942	688913
RM2|P|C18568	1048942	688913
RM2|P|C40301	1048942	688913
RM2|P|C27265	1048942	688913
RM2|P|C14026	1048942	688913
RM2|P|C33064	1048942	688913
RM2|P|C2436	1048942	688913
RM2|P|C7934	1048942	688913
RM2|P|C11959	1048942	688913
RM2|P|C2566	1048942	688913
RM2|P|C49001	1048942	688913
RM2|P|C57397	1048942	688913
RM2|P|C23801	1048942	688913
RM2|P|C27525	1048942	688913
RM2|P|C15427	1048942	688913
RM2|P|C43342	1048942	688913
RM2|P|C4684	1048942	688913
RM2|P|C57896	1048942	688913
RM2|P|C32756	1048942	688913
RM2|P|C26780	1048942	688913
RM2|P|C17149	1048942	688913
RM2|P|C53715	1048942	688913
RM2|P|C49714	1048942	688913
RM2|P|C54213	1048942	688913
RM2|P|C15573	1048942	688913
RM2|P|C28270	1048942	688913
RM2|P|C37540	1048942	688913
RM2|P|C36968	1048942	688913
RM2|P|C42693	1048942	688913
RM2|P|C15909	1048942	688913
RM2|P|C21497	1048942	688913
RM2|P|C24864	1048942	688913
RM2|P|C28809	1048942	688913
RM2|P|C11440	1048942	688913
RM2|P|C8672	1048942	688913
RM2|P|C11542	1048942	688913
RM2|P|C14581	1048942	688913
RM2|P|C43288	1048942	688913
RM2|P|C43081	1048942	688913
RM2|P|C44412	1048942	688913
RM2|P|C18679	1048942	688913
RM2|P|C19069	1048942	688913
RM2|P|C54928	1048942	688913
RM2|P|C39662	1048942	688913
RM2|P|C52684	1048942	688913
RM2|P|C32906	1048942	688913
RM2|P|C35097	1048942	688913
RM2|P|C43349	1048942	688913
RM2|P|C13314	1048942	688913
RM2|P|C38524	1048942	688913
RM2|P|C21625	1048942	688913
RM2|P|C36898	1048942	688913
RM2|P|C8216	1048942	688913
RM2|P|C2559	1048942	688913
RM2|P|C55682	1048942	688913
RM2|P|C10852	1048942	688913
RM2|P|C34444	1048942	688913
RM2|P|C61029	1048942	688913
RM2|P|C22309	1048942	688913
RM2|P|C12342	1048942	688913
RM2|P|C61648	1048942	688913
RM2|P|C23009	1048942	688913
RM2|P|C1645	1048942	688913
RM2|P|C58601	1048942	688913
RM2|P|C25913	1048942	688913
RM2|P|C60304	1048942	688913
RM2|P|C36242	1048942	688913
RM2|P|C764	1048942	688913
RM2|P|C12546	1048942	688913
RM2|P|C35256	1048942	688913
RM2|P|C36792	1048942	688913
RM2|P|C46280	1048942	688913
RM2|P|C39583	1048942	688913
RM2|P|C3712	1048942	688913
RM2|P|C59614	1048942	688913
RM2|P|C22498	1048942	688913
RM2|P|C28743	1048942	688913
RM2|P|C54243	1048942	688913
RM2|P|C24607	1048942	688913
RM2|P|C38328	1048942	688913
RM2|P|C32451	1048942	688913
RM2|P|C42905	1048942	688913
RM2|P|C37332	1048942	688913
RM2|P|C6256	1048942	688913
RM2|P|C16182	1048942	688913
RM2|P|C59571	1048942	688913
RM2|P|C48526	1048942	688913
RM2|P|C58968	1048942	688913
RM2|P|C19939	1048942	688913
RM2|P|C36747	1048942	688913
RM2|P|C16304	1048942	688913
RM2|P|C51045	1048942	688913
RM2|P|C32442	1048942	688913
RM2|P|C3798	1048942	688913
RM2|P|C2012	1048942	688913
RM2|P|C16224	1048942	688913
RM2|P|C30665	1048942	688913
RM2|P|C34158	1048942	688913
RM2|P|C6199	1048942	688913
RM2|P|C16403	1048942	688913
RM2|P|C2927	1048942	688913
RM2|P|C5816	1048942	688913
RM2|P|C47149	1048942	688913
RM2|P|C13691	1048942	688913
RM2|P|C6183	1048942	688913
RM2|P|C18789	1048942	688913
RM2|P|C37930	1048942	688913
RM2|P|C6130	1048942	688913
RM2|P|C38070	1048942	688913
RM2|P|C49150	1048942	688913
RM2|P|C44051	1048942	688913
RM2|P|C62254	1048942	688913
RM2|P|C9381	1048942	688913
RM2|P|C56485	1048942	688913
RM2|P|C18174	1048942	688913
RM2|P|C17919	1048942	688913
RM2|P|C9197	1048942	688913
RM2|P|C14762	1048942	688913
RM2|P|C32109	1048942	688913
RM2|P|C38446	1048942	688913
